HARGA;LT;LB;JKT;JKM;Kota;
8000000000;527;385;21;11;Bandung;
1900000000;221;250;3;3;Bandung;
3000000000;320;320;4;3;Bandung;
150000000;60;36;2;1;Bandung;
550000000;87;60;2;1;Bandung;
1500000000;144;160;3;2;Bandung;
12000000000;305;500;4;3;Bandung;
2350000000;212;235;4;3;Bandung;
1200000000;84;200;4;3;Bandung;
600000000;112;112;4;2;Bandung;
7700000000;267;375;6;2;Bandung;
2100000000;210;160;4;2;Bandung;
2350000000;212;235;4;3;Bandung;
2350000000;233;326;24;8;Bandung;
950000000;162;122;4;4;Bandung;
950000000;78;156;5;2;Bandung;
3500000000;270;550;22;12;Bandung;
2000000000;85;120;3;3;Bandung;
2500000000;91;200;4;3;Bandung;
3100000000;200;350;4;3;Bandung;
1400000000;54;200;3;2;Bandung;
2150000000;233;326;24;8;Bandung;
1950000000;130;100;1;1;Bandung;
2600000000;130;240;3;2;Bandung;
850000000;103;80;5;1;Bandung;
3900000000;127;250;3;3;Bandung;
7700000000;267;375;6;2;Bandung;
900000000;85;200;4;3;Bandung;
10000000000;483;650;4;3;Bandung;
1600000000;74;200;0;0;Bandung;
2300000000;233;326;24;8;Bandung;
1650000000;97;140;3;2;Bandung;
2500000000;233;326;24;8;Bandung;
10000000000;483;550;4;5;Bandung;
2200000000;133;180;3;3;Bandung;
350000000;26;52;1;1;Bandung;
1500000000;54;180;3;2;Bandung;
1600000000;181;68;2;1;Bandung;
4500000000;298;300;4;3;Bandung;
2300000000;134;200;4;3;Bandung;
1300000000;118;100;2;1;Bandung;
1550000000;75;140;3;2;Bandung;
750000000;98;90;3;2;Bandung;
650000000;98;90;3;1;Bandung;
999000000;94;120;2;2;Bandung;
725000000;66;120;4;2;Bandung;
2850000000;233;326;24;8;Bandung;
1970000000;120;150;4;2;Bandung;
1200000000;121;110;2;1;Bandung;
1900000000;106;240;5;3;Bandung;
1650000000;75;140;3;2;Bandung;
1650000000;75;140;4;3;Bandung;
1650000000;75;140;3;2;Bandung;
1550000000;75;140;4;3;Bandung;
9000000000;380;280;8;2;Bandung;
9000000000;380;280;8;2;Bandung;
4000000000;197;430;7;2;Bandung;
3000000000;233;326;24;8;Bandung;
1500000000;75;140;3;2;Bandung;
1900000000;106;240;5;3;Bandung;
3200000000;109;250;3;3;Bandung;
815000000;157;109;3;1;Bandung;
5000000000;474;600;4;4;Bandung;
1100000000;142;140;0;0;Bandung;
1950000000;221;250;3;2;Bandung;
500000000;35;63;2;1;Bandung;
7750000000;267;365;7;3;Bandung;
3100000000;200;350;4;3;Bandung;
3000000000;122;220;5;5;Bandung;
9500000000;271;260;0;2;Bandung;
750000000;65;195;3;2;Bandung;
20000000000;800;1000;4;3;Bandung;
400000000;60;50;2;1;Bandung;
6000000000;330;150;4;3;Bandung;
1300000000;144;70;3;2;Bandung;
1500000000;118;160;3;1;Bandung;
4700000000;534;754;6;3;Bandung;
1600000000;75;150;4;3;Bandung;
2500000000;252;504;20;20;Bandung;
2500000000;252;504;20;20;Bandung;
13000000000;483;550;4;5;Bandung;
1700000000;106;180;3;2;Bandung;
170000000;60;36;2;1;Bandung;
50000000000;1100;3000;53;60;Bandung;
2100000000;127;173;6;3;Bandung;
1000000000;65;100;3;3;Bandung;
1970000000;120;150;4;2;Bandung;
1000000000;84;200;4;3;Bandung;
1200000000;83;140;3;0;Bandung;
1600000000;75;140;4;3;Bandung;
3800000000;298;300;4;3;Bandung;
3850000000;297;297;4;4;Bandung;
525000000;46;56;3;2;Bandung;
9500000000;271;260;0;2;Bandung;
1400000000;65;65;3;1;Bandung;
1100000000;94;120;2;2;Bandung;
9500000000;835;500;5;4;Bandung;
1700000000;75;140;3;2;Bandung;
1600000000;75;140;3;2;Bandung;
1600000000;121;150;4;3;Bandung;
1150000000;102;51;2;1;Bandung;
1650000000;122;160;3;3;Bandung;
1600000000;121;78;4;3;Bandung;
4000000000;399;300;7;7;Bandung;
2250000000;109;202;4;3;Bandung;
1340000000;91;90;3;2;Bandung;
4000000000;399;300;5;2;Bandung;
2590000000;330;200;4;4;Bandung;
1800000000;130;80;2;1;Bandung;
1700000000;136;100;4;2;Bandung;
1500000000;120;200;4;2;Bandung;
4200000000;200;300;6;4;Bandung;
1100000000;150;120;2;2;Bandung;
850000000;104;95;2;1;Bandung;
